ticker,company_name,ciq_company_id,ciq_company_name,exchange,sector,industry,match_method,match_confidence,is_primary_share_class,primary_ticker,related_tickers,mapping_status,notes,universe_as_of_date,mapping_verified_at,mapping_source,first_transcript_date,last_transcript_date,distinct_transcript_years,deduped_call_count,coverage_status,coverage_filter_reason,manual_keep_exception
AXON,Axon Enterprise,885779,"Axon Enterprise, Inc.",Nasdaq,Industrials,Ordnance & Accessories,ticker_exchange_match,0.99,True,AXON,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=16,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2007-02-21,2025-11-04,19,73,keep_min10y,distinct_transcript_years_ge_10,False
BKNG,Booking Holdings,33254,Booking Holdings Inc.,Nasdaq,Consumer Discretionary,Transportation Services,ticker_exchange_match,0.99,True,BKNG,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-02-16,2025-10-28,20,78,keep_min10y,distinct_transcript_years_ge_10,False
BKR,Baker Hughes,425005479,Baker Hughes Company,Nasdaq,Energy,Oil Equipment & Services,ticker_exchange_match,0.99,True,BKR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=18,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2017-10-20,2025-10-24,9,33,keep_manual_exception,call_count_near_threshold_manual_keep,True
CCEP,Coca-Cola Europacific Partners,109130811,Coca-Cola Europacific Partners PLC,Nasdaq,Consumer Staples,Soft Drinks,ticker_exchange_match,0.99,True,CCEP,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2009-02-11,2025-08-06,17,54,keep_min10y,distinct_transcript_years_ge_10,False
CDNS,Cadence Design Systems,25941,"Cadence Design Systems, Inc.",Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,CDNS,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-02-01,2025-10-27,20,78,keep_min10y,distinct_transcript_years_ge_10,False
CHTR,Charter Communications,19609,"Charter Communications, Inc.",Nasdaq,Telecommunications,Cable & Other Pay Television Services,ticker_exchange_match,0.99,True,CHTR,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=13,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2008-02-27,2025-10-31,17,67,keep_min10y,distinct_transcript_years_ge_10,False
CMCSA,Comcast,173341,Comcast Corporation,Nasdaq,Telecommunications,Cable & Other Pay Television Services,ticker_exchange_match,0.99,True,CMCSA,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=5,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-02-02,2025-10-30,20,79,keep_min10y,distinct_transcript_years_ge_10,False
COST,Costco,92817,Costco Wholesale Corporation,Nasdaq,Consumer Discretionary,Department/Specialty Retail Stores,ticker_exchange_match,0.99,True,COST,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=17,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2005-12-08,2025-12-11,21,80,keep_min10y,distinct_transcript_years_ge_10,False
CPRT,Copart,27023,"Copart, Inc.",Nasdaq,Consumer Discretionary,Retail,ticker_exchange_match,0.99,True,CPRT,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2008-03-07,2025-11-20,18,70,keep_min10y,distinct_transcript_years_ge_10,False
CSCO,Cisco,19691,"Cisco Systems, Inc.",Nasdaq,Telecommunications,Computer Communications Equipment,ticker_exchange_match,0.99,True,CSCO,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=9,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-02-07,2025-11-12,20,79,keep_min10y,distinct_transcript_years_ge_10,False
